hour,tx_count,is_capped_hour,collection_cap,unique_accounts,avg_total_fee,median_total_fee,p90_total_fee,min_total_fee,max_total_fee,std_total_fee,avg_gas_used,median_gas_used,avg_compute_fee,avg_storage_fee,avg_action_fee,avg_forward_fee,avg_import_fee,avg_vm_steps,avg_msgs_created,avg_out_msg_count,avg_msg_size_bits,avg_msg_size_cells,failed_tx_ratio,compute_success_ratio,action_success_ratio,avg_transaction_value,total_transaction_value,hour_of_day,day_of_week,is_weekend,fee_lag_1h,fee_lag_3h,fee_lag_6h,fee_lag_12h,fee_lag_24h,rolling_avg_fee_3h,rolling_avg_fee_6h,rolling_avg_fee_12h,rolling_avg_fee_24h,rolling_std_fee_6h,rolling_std_fee_24h,fee_change_1h,fee_change_3h,fee_change_6h,fee_change_12h,fee_change_24h,tx_count_change_1h,tx_count_change_3h,tx_count_change_6h,tx_count_change_24h,gas_used_change_1h,gas_used_change_3h,gas_used_change_6h,gas_used_change_24h,p90_fee_change_1h,p90_fee_change_3h,p90_fee_change_6h,p90_fee_change_24h,hour_sin,hour_cos,day_sin,day_cos,target_next_hour_avg_fee
2026-04-03T12:00:00Z,5000,0,,2350,2231347.4256,827463.0,5258443.100000001,0,42303432,2910376.7513173777,3799.7154,1000.0,1520490.8,51178.9636,275267.0056,815770.88,200.0,91.8046,0.7154,0.7198,1612.9556,3.1804,0.095,0.9905866900175132,1.0,39971321736.6704,199856608683352,12,4,0,2058909.7238,2466314.2914,2863906.5188,2126292.6916,2075495.5246,2280111.693333334,2380067.3896666667,2217371.1891333335,2187944.90905,273268.2871507555,212628.36856714703,172437.70180000016,-234966.8657999998,-632559.0932,105054.73400000016,155851.9010000003,0.0,0.0,0.0,0.0,401.80700000000024,-141.03099999999995,512.9938000000002,310.74940000000015,80697.90000000037,-638989.7000000114,-1345501.0000000028,214401.5,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2082779.558
2026-04-03T13:00:00Z,5000,0,,2327,2082779.558,787472.5,5177735.0,0,65866570,2930004.2260224097,3402.3394,1000.0,1361528.4,59153.2516,267806.581,797225.6,0.0,80.4292,0.7088,0.7122,1579.2126,3.053,0.099,0.9868593955321944,0.9997780736795384,34130742212.7408,170653711063704,13,4,0,2231347.4256,2315111.0648,2226621.9252,2122795.285,2183866.7878,2201789.4047333333,2274640.874133333,2226125.7503,2194438.7382583334,137627.47369477415,211421.2537649924,-148567.86760000023,-232331.50679999983,-143842.36719999998,-40015.72700000019,-101087.22980000007,0.0,0.0,0.0,0.0,-397.3760000000002,-657.3296,-97.83840000000008,-377.0438000000004,-80708.10000000056,-160285.8000000082,-429008.0,-3209.0999999996275,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,2202381.3512
2026-04-03T14:00:00Z,5000,0,,2344,2202381.3512,790674.0,5286631.500000005,0,56901418,3202762.141096656,3767.7192,1000.0,1507710.08,40097.2264,267241.7856,794190.0,0.0,89.845,0.7282,0.7314,1565.7528,3.0846,0.1012,0.9935883263320804,1.0,64130672445.7732,320653362228866,14,4,0,2082779.558,2058909.7238,2349540.814,1938996.5472,2276248.3672,2124345.5691333334,2250667.1462666667,2222791.1063833334,2190226.77035,158595.78492685876,212644.42669819784,119601.79319999996,143471.62739999988,-147159.46279999986,263384.804,-73867.0160000003,0.0,0.0,0.0,0.0,365.37980000000016,369.8108000000002,372.6383999999998,-87.87620000000015,108896.50000000466,108886.30000000448,-318964.49999999534,-316831.49999999534,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,2085052.1586
2026-04-03T15:00:00Z,5000,0,,2353,2085052.1586,788531.5,5047615.1,0,63533390,3107427.1509306985,3453.8298,1000.0,1382060.4,38084.2814,255907.0664,764219.76,0.0,81.2044,0.6928,0.6996,1512.8156,2.9474,0.093,0.9910402097902098,1.0,51184373142.606,255921865713030,15,4,0,2202381.3512,2231347.4256,2466314.2914,1910250.7564,2407916.4156,2172169.4449333334,2226140.5691333334,2244739.84005,2187148.9780166666,151465.7142073725,211878.41797771511,-117329.19259999997,-146295.26700000025,-381262.1328,174801.4021999999,-322864.257,0.0,0.0,0.0,0.0,-313.8894,-345.88560000000007,-486.9166,-632.5074,-239016.40000000503,-210828.00000000093,-849817.7000000123,-554780.9000000004,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,2004243.378
2026-04-03T16:00:00Z,5000,0,,2336,2004243.378,785413.0,5047607.8,0,42302874,2572446.523039796,3354.4058,1000.0,1342360.88,53380.873,227601.53,678283.6,0.0,79.6418,0.701,0.706,1333.7362,2.594,0.1014,0.99008373732922,1.0,75731647896.5376,378658239482688,16,4,0,2085052.1586,2082779.558,2315111.0648,1980006.9298,2352791.3598,2123404.3559333333,2162596.8803333333,2259306.6235666666,2173696.3006416666,102669.4046961194,207455.47269354557,-80808.78059999994,-78536.17999999993,-310867.6867999998,24236.448199999984,-348547.9818000002,0.0,0.0,0.0,0.0,-99.42399999999998,-47.93359999999984,-705.2631999999999,-787.9285999999997,-7.299999999813736,-130127.2000000002,-290413.0000000084,-266812.40000000224,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,2085589.914
2026-04-03T17:00:00Z,5000,0,,2302,2085589.914,797722.5,5177747.1,0,60245567,2798250.771249396,3522.3728,1000.0,1409420.16,52552.1156,234288.4,696354.08,0.0,85.2666,0.709,0.7154,1337.798,2.5844,0.0896,0.9902110071785948,1.0,686306560378.7052,3431532801893526,17,4,0,2004243.378,2202381.3512,2058909.7238,2249707.7216,2213574.8564,2097225.6292666667,2110785.5991999996,2261326.3275833335,2159173.4680666667,87651.39522553605,206570.98277372908,81346.53600000008,-116791.4371999998,26680.19020000007,-164117.8075999997,-127984.94239999984,0.0,0.0,0.0,0.0,167.9670000000001,-245.3463999999999,124.4644000000003,-342.7909999999997,130139.2999999998,-108884.40000000504,1.8999999994412065,-3220.9000000003725,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,2262854.4154
2026-04-03T18:00:00Z,5000,0,,2323,2262854.4154,864400.0,5312755.0,0,88101052,3913608.753647365,3694.7754,1393.0,1478365.84,25930.8032,331013.4356,986074.16,200.0,88.2112,0.7028,0.706,1970.0228,3.8634,0.0848,0.9860094705122686,0.9989085352543112,12742988326.1298,63714941630649,18,4,0,2085589.914,2085052.1586,2231347.4256,2863906.5188,1948191.2126,2058295.1502,2115232.2975666667,2247649.8436166667,2153840.762133334,85133.90954362662,206757.43544478196,177264.50139999972,177802.25679999986,31506.989799999632,-601052.1034000004,314663.20279999985,0.0,0.0,0.0,0.0,172.4025999999999,240.9456,-104.94000000000004,496.4385999999999,135007.90000000037,265139.9000000004,54311.89999999944,503066.7999999942,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191,2090151.5522
2026-04-03T19:00:00Z,5000,0,,2293,2090151.5522,789650.5,4944307.200000007,0,125479970,3680133.71526905,3509.404,1000.0,1404326.56,58377.5838,236221.3658,701930.56,0.0,84.6902,0.6946,0.6992,1388.4742,2.7396,0.0796,0.9958883358580394,1.0,111581019463.4492,557905097317246,19,4,0,2262854.4154,2004243.378,2082779.558,2226621.9252,1975806.102,2117562.5691333334,2120483.4625333333,2197562.1683333335,2166951.728916667,94215.74293637986,203094.04055913357,-172702.8631999998,85908.17420000001,7371.994200000074,-136470.3729999999,114345.45020000008,0.0,0.0,0.0,0.0,-185.3714,154.9982,107.06460000000015,242.5164,-368447.7999999933,-103300.59999999312,-233427.7999999933,-47701.39999999665,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1952781.8512
2026-04-03T20:00:00Z,5000,0,,2211,1952781.8512,785445.5,4937711.500000005,0,32572598,2448799.467429101,3208.58,1000.0,1284086.72,35989.6538,208656.5838,621620.24,400.0,76.376,0.6806,0.6858,1223.7922,2.4076,0.091,0.9867621527777778,0.9995601495491532,75893709800.0584,379468549000292,20,4,0,2090151.5522,2085589.914,2202381.3512,2349540.814,1975044.9956,2146198.6272,2121712.128233333,2186189.63725,2171716.122675,93672.20904437616,199728.3137109359,-137369.70100000012,-132808.0628000002,-249599.5,-396758.96279999986,-22263.144400000107,0.0,0.0,0.0,0.0,-300.82400000000007,-313.79280000000017,-559.1392000000001,-114.51780000000008,-6595.700000002049,-240035.59999999497,-348920.0,320668.8999999985,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,2190516.3216
2026-04-03T21:00:00Z,5000,0,,2293,2190516.3216,785368.0,4990807.300000003,0,351859491,6234578.111905967,3680.5196,1000.0,1472598.24,98354.0924,224708.0252,669377.52,200.0,89.9804,0.7326,0.7366,1328.5602,2.6156,0.0688,0.997215677875348,1.0,57024410855.477,285122054277385,21,4,0,1952781.8512,2262854.4154,2085052.1586,2466314.2914,2162197.7096,2101929.272933333,2080112.2115666668,2153126.39035,2170788.491658333,105374.5797626151,200730.6452706546,237734.4704,-72338.09379999992,105464.16299999994,-275797.9698000001,28318.61199999973,0.0,0.0,0.0,0.0,471.93960000000015,-14.255799999999908,226.6898000000001,-3.6959999999999127,53095.79999999795,-321947.6999999974,-56807.79999999702,-312226.2999999998,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,2221788.6252
2026-04-03T22:00:00Z,5000,0,,2061,2221788.6252,823194.0,5404816.9,0,42301775,2922368.163297143,3709.0832,1000.0,1484136.16,72124.9534,245891.5492,729565.28,0.0,89.4728,0.6972,0.7018,1438.459,2.8874,0.0804,0.9978298611111112,1.0,53324291193.3654,266621455966827,22,4,0,2190516.3216,2090151.5522,2004243.378,2315111.0648,2213825.5782,2077816.575,2097689.5720666666,2130143.2262,2171968.433825,114743.09837494956,200761.18045440057,31272.303600000218,131637.0730000001,217545.2472000001,-93322.43959999968,7963.047000000253,0.0,0.0,0.0,0.0,28.56359999999995,199.67920000000004,354.67740000000003,-140.04199999999992,414009.59999999776,460509.69999999367,357209.10000000056,107283.2999999998,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,2160499.2714
2026-04-03T23:00:00Z,5000,0,,2067,2160499.2714,818927.0,5451972.900000003,0,50342998,2741241.161635998,3659.8712,1000.0,1464340.48,38126.084,233908.937,696465.84,200.0,87.3658,0.6818,0.7002,1369.4476,2.6958,0.1044,0.9856954225352113,0.9997767358785444,109848593639.6968,549242968198484,23,4,0,2221788.6252,1952781.8512,2085589.914,2058909.7238,2117264.6382,2121695.5993333333,2133947.113266667,2122366.3562333337,2172300.2274499997,113675.52169507965,200839.9292456777,-61289.35380000016,207717.42020000005,74909.35739999986,101589.54759999992,43234.63320000004,0.0,0.0,0.0,0.0,-49.21199999999999,451.2912000000001,137.49839999999995,65.54219999999987,47156.000000002794,514261.3999999985,274225.80000000354,441126.5000000028,-0.2588190451025215,0.965925826289068,-0.433883739117558,-0.9009688679024191,2150840.7548
